Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,4090
1,0,1,150,4090
2,0,1,300,4090
3,0,1,447,4090
4,0,1,602,4090
5,0,1,752,4090
6,0,1,902,4090
7,0,1,1055,4090
8,0,1,1207,4090
9,0,1,1355,4090
10,0,1,1502,4090
11,0,1,1641,4090
12,0,1,1785,4090
13,0,1,1935,4090
14,0,1,2076,4090
15,0,1,2222,4090
16,0,1,2368,4090
17,0,1,2508,4090
18,0,1,2644,4090
19,0,1,2782,4090
20,0,1,2924,4090
21,0,1,3057,4090
22,0,1,3194,4090
23,0,1,3329,4090
24,0,1,3464,4090
25,0,1,3602,4090
26,0,1,3735,4090
27,0,1,3870,4090
28,0,1,4006,4090
29,0,0,4090,4090
30,0,0,4090,4090
31,0,0,4090,4090
32,0,0,4090,4090
33,0,0,4090,0
34,0,0,4090,0
35,0,0,4090,0
36,0,0,4090,0
37,0,0,4090,0
38,0,0,4090,0
39,0,0,4090,0
40,0,0,4090,0
41,0,0,4090,0
42,0,0,4090,0
43,0,0,4090,0
44,0,0,4090,0
45,0,0,4090,0
46,0,0,4090,0
47,0,0,4090,0
48,0,0,4090,0
49,0,0,4090,0
50,0,0,4090,0
51,0,0,4090,0
52,0,0,4090,0
53,0,0,4090,0
54,0,0,4090,0
55,0,0,4090,0
56,0,0,4090,0
57,0,0,4090,0
58,0,0,4090,0
59,0,0,4090,0
60,0,0,4090,0
62,0,0,4090,0
63,0,0,4090,0
64,0,0,4090,0
65,0,0,4090,0
66,0,0,4090,0
67,0,0,4090,0
68,0,0,4090,0
69,0,0,4090,0
70,0,0,4090,0
71,0,0,4090,0
72,0,0,4090,0
73,0,0,4090,0
74,0,0,4090,0
75,0,0,4090,0
76,0,0,4090,0
77,0,0,4090,0
78,0,0,4090,0
79,0,0,4090,0
80,0,0,4090,0
81,0,0,4090,0
82,0,0,4090,0
83,0,0,4090,0
84,0,0,4090,0
85,0,0,4090,0
86,0,0,4090,0
87,0,0,4090,0
88,0,0,4090,0
89,0,0,4090,0
90,0,0,4090,0
91,0,0,4090,0
92,0,0,4090,0
93,0,0,4090,0
94,0,0,4090,0
95,0,0,4090,0
96,0,0,4090,0
97,0,0,4090,0
98,0,0,4090,0
99,0,0,4090,0
100,0,0,4090,0
101,0,0,4090,0
102,0,0,4090,0
103,0,0,4090,0
104,0,0,4090,0
105,0,0,4090,0
106,0,0,4090,0
107,0,0,4090,0
108,0,0,4090,0
109,0,0,4090,0
110,0,0,4090,0
111,0,0,4090,0
112,0,0,4090,0
113,0,0,4090,0
114,0,0,4090,0
115,0,0,4090,0
116,0,0,4090,0
117,0,0,4090,0
118,0,0,4090,0
