0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:35:47 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:08:40 +0100] "GET /cas/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:08:43 +0100] "GET /cas/login HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:08:44 +0100] "GET /cas/css/cas.css HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:08:44 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:08:44 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:08:45 +0100] "GET /cas/favicon.ico HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:10:10 +0100] "POST /cas/login HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:10:10 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:10:10 +0100] "GET /cas/css/cas.css HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:10:10 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:10:10 +0100] "GET /cas/images/error.gif HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:10:15 +0100] "POST /cas/login HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:10:15 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:10:15 +0100] "GET /cas/css/cas.css HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:10:15 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:10:15 +0100] "GET /cas/images/error.gif HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:11:21 +0100] "POST /cas/login HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:11:22 +0100] "GET /cas/css/cas.css HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:11:22 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:11:22 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:11:22 +0100] "GET /cas/images/error.gif HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:15:10 +0100] "POST /cas/login HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:15:10 +0100] "GET /cas/css/cas.css HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:15:10 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:15:10 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:15:10 +0100] "GET /cas/images/error.gif HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:18:24 +0100] "GET /cas/login HTTP/1.1" 200 4927
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:18:25 +0100] "GET /cas/css/cas.css;jsessionid=51DB9A2B12485B4BE2F21F3E85C40491 HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:18:25 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:18:25 +0100] "GET /cas/js/cas.js;jsessionid=51DB9A2B12485B4BE2F21F3E85C40491 HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:18:26 +0100] "GET /cas/favicon.ico;jsessionid=51DB9A2B12485B4BE2F21F3E85C40491 HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:27 +0100] "POST /cas/login;jsessionid=51DB9A2B12485B4BE2F21F3E85C40491 HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:27 +0100] "GET /cas/css/cas.css HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:28 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:28 +0100] "GET /cas/js/cas.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:28 +0100] "GET /cas/images/error.gif HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:28 +0100] "GET /cas/favicon.ico HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:38 +0100] "POST /cas/login HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:38 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:38 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:38 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:19:38 +0100] "GET /cas/images/error.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:12 +0100] "POST /cas/login HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:12 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:12 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:12 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:12 +0100] "GET /cas/images/error.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:30 +0100] "POST /cas/login HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:31 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:31 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:31 +0100] "GET /cas/images/error.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:31 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:36 +0100] "POST /cas/login HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:36 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:36 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:36 +0100] "GET /cas/images/error.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:36 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:44 +0100] "GET /cas/logout HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:44 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:44 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:44 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:44 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:48 +0100] "GET /cas/login HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:48 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:48 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:48 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:52 +0100] "POST /cas/login HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:52 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:23:24:52 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
